Location,Predict_population_2020,Predict_population_2021,Predict_population_2022,Latitude,Longitude,Rank
an giang,1892656,1884728,1884281,10.2216,104.9925667,2
bac giang,1826462,1846398,1863681,20.982,106.0641667,2
bac kan,315903,317889,319863,21.8443,105.7011667,2
bac lieu,911838,915955,919574,8.994,105.5882667,2
bac ninh,1399826,1427217,1450904,20.8782,105.9376667,2
ba ria - vung tau,1163128,1177570,1191614,10.2417,107.1096667,2
ben tre,1290669,1291778,1291810,9.9434,106.2422667,2
binh dinh,1486858,1486699,1486449,13.8665,108.7693667,2
binh duong,2519628,2611135,2700960,11.0254,106.3436667,2
binh phuoc,1006100,1016799,1026745,11.4512,106.5901667,2
binh thuan,1236792,1242362,1247503,10.7904,107.9387667,2
ca mau,1193009,1191368,1189598,8.8527,105.0627667,2
can tho,1239589,1243738,1247606,9.7452,105.6135667,1
cao bang,532603,534808,536950,22.3666,106.1306667,2
dak lak,1881513,1892284,1901606,12.41,108.1044667,2
dak nong,635136,647768,660041,11.9646,107.4764667,2
da nang,1158649,1182607,1206154,15.7545,107.9383667,1
dien bien,609702,620540,631366,21.1064,102.8988667,2
dong nai,3157284,3216462,3274562,10.7686,107.0342667,2
dong thap,1594681,1591857,1591033,10.1938,105.5548667,2
gia lai,1537307,1560247,1582631,13.5079,107.9760667,2
ha giang,867634,880526,893347,22.5026,104.8450667,2
hai duong,1909311,1924628,1938144,20.6373,106.1812667,2
hai phong,2047445,2066154,2084623,20.5449,106.5547667,1
ha nam,858215,862148,864609,20.2835,105.7896667,2
ha noi,8212297,8369249,8524379,20.7278,105.7008667,1
ha tinh,1292537,1293689,1292462,18.056,105.7543667,2
hau giang,730946,729294,728099,9.4579,105.5079667,2
hoa binh,860569,866527,871984,20.5275,105.2057667,2
hung yen,1264510,1275542,1285789,20.3547,105.9244667,2
khanh hoa,1238087,1244677,1250860,11.9585,108.9192667,2
kien giang,1725689,1727460,1728394,9.525,104.9925667,2
kon tum,551429,562377,573279,14.0497,107.8671667,2
lai chau,469113,477972,486768,22.0862,103.3369667,2
lam dong,1307277,1317055,1326214,11.2753,108.0095667,2
lang son,786372,790878,795160,21.5537,106.6281667,2
lao cai,741911,753302,764586,22.1809,103.8421667,2
long an,1712563,1735265,1756580,10.3956,106.1097667,2
nam dinh,1775724,1771164,1766723,20.1388,106.0287667,2
nghe an,3364051,3394823,3420004,18.9342,104.7866667,2
ninh binh,989876,996271,1001647,19.9506,105.8411667,2
ninh thuan,592784,594862,596697,11.3739,108.7296667,2
phu tho,1477389,1489923,1501279,21.122,105.0963667,2
phu yen,873700,874106,874191,12.7882,108.9595667,2
quang binh,900480,905526,910568,17.3103,106.2153667,2
quang nam,1502937,1509821,1516448,15.2394,107.8857667,2
quang ngai,1233107,1234431,1235666,14.8214,108.6710667,2
quang ninh,1337576,1354520,1371134,20.7064,107.1591667,2
quang tri,635707,638961,642131,16.4943,106.8300667,2
soc trang,1193370,1190279,1190323,9.3025,105.8405667,2
son la,1265499,1282417,1299157,21.0269,103.7810667,2
tay ninh,1179407,1189625,1199815,11.0352,105.9765667,2
thai binh,1866850,1871768,1875201,20.1463,106.2032667,2
thai nguyen,1302194,1316661,1330101,21.2672,105.6918667,2
thanh hoa,3657571,3668453,3672922,19.5067,105.6518667,2
ho chi minh,9173993,9352613,9528767,10.5231,106.4963667,1
thua thien - hue,1132739,1136855,1140971,16.1674,107.4571667,2
tien giang,1773176,1781949,1790490,10.1493,106.2087667,2
tra vinh,1009621,1009914,1010049,9.6513,106.2012667,2
tuyen quang,790720,796531,802236,21.4767,105.0946667,2
vinh long,1022489,1022092,1021613,9.9396,105.8238667,2
vinh phuc,1160345,1163581,1161173,21.0609,105.4140667,2
yen bai,828933,836663,844206,21.4168,104.7652667,2
