Name,Abbr,Status,Capital,Area,Population_1999,Population_2009,Population_2019
An Giang,AGI,Prov,Long Xuyên,"3,537","2,044,376","2,142,709","1,908,352"
Bắc Giang,BGI,Prov,Bắc Giang,"3,896","1,492,899","1,554,131","1,803,950"
Bắc Kạn,BKA,Prov,Bắc Kạn,"4,860","275,165","293,826","313,905"
Bạc Liêu,BLI,Prov,Bạc Liêu,"2,669","735,130","856,518","907,236"
Bắc Ninh,BNI,Prov,Bắc Ninh,823,"942,106","1,024,472","1,368,840"
Bà Rịa - Vũng Tàu,BRV,Prov,Vũng Tàu,"1,981","796,186","996,682","1,148,313"
Bến Tre,BTR,Prov,Bến Tre,"2,395","1,298,959","1,255,946","1,288,463"
Bình Định,BDI,Prov,Qui Nhơn,"6,066","1,460,727","1,486,465","1,486,918"
Bình Dương,BDU,Prov,Thủ Dầu Một,"2,695","716,661","1,481,550","2,426,561"
Bình Phước,BPH,Prov,Đồng Xoài,"6,877","653,926","873,598","994,679"
Bình Thuận,BTH,Prov,Phan Thiết,"7,944","1,046,320","1,167,023","1,230,808"
Cà Mau,CMA,Prov,Cà Mau,"5,221","1,118,830","1,206,938","1,194,476"
Cần Thơ,CTH,Mun,Cần Thơ,"1,439","1,105,000","1,188,435","1,235,171"
Cao Bằng,CBA,Prov,Cao Bằng,"6,700","490,335","507,183","530,341"
Đắk Lắk,DLA,Prov,Buôn Ma Thuột,"13,030","1,388,000","1,733,624","1,869,322"
Đắk Nông,DNO,Prov,Gia Nghĩa,"6,509","393,000","489,392","622,168"
Đà Nẵng,DNG,Mun,Đà Nẵng,"1,285","684,846","887,435","1,134,310"
Điện Biên,DBI,Prov,Điện Biên Phủ,"9,541","383,000","490,306","598,856"
Đồng Nai,DNI,Prov,Biên Hòa,"5,864","1,990,678","2,486,154","3,097,107"
Đồng Tháp,DTH,Prov,Cao Lãnh,"3,384","1,566,571","1,666,467","1,599,504"
Gia Lai,GLA,Prov,Pleiku,"15,511","966,950","1,274,412","1,513,847"
Hà Giang,HGG,Prov,Hà Giang,"7,930","602,525","724,537","854,679"
Hải Dương,HDU,Prov,Hải Dương,"1,668","1,650,624","1,705,059","1,892,254"
Hải Phòng,HPH,Mun,Hải Phòng,"1,562","1,672,425","1,837,173","2,028,514"
Hà Nam,HNA,Prov,Phủ Lý,862,"793,103","784,045","852,800"
Hà Nội (incl. Hà Tây) [Hanoi],HNO,Mun,Hà Nội,"3,359","5,053,604","6,451,909","8,053,663"
Hà Tĩnh,HTI,Prov,Hà Tĩnh,"5,991","1,268,968","1,227,038","1,288,866"
Hậu Giang,HAU,Prov,Vị Thanh,"1,622","704,000","757,300","733,017"
Hòa Bình,HBI,Prov,Hòa Bình,"4,591","756,713","785,217","854,131"
Hưng Yên,HYE,Prov,Hưng Yên,930,"1,069,158","1,127,903","1,252,731"
Khánh Hòa,KHO,Prov,Nha Trang,"5,138","1,031,395","1,157,604","1,231,107"
Kiên Giang,KGI,Prov,Rạch Giá,"6,349","1,497,639","1,688,248","1,723,067"
Kon Tum,KTU,Prov,Kon Tum,"9,674","314,216","430,133","540,438"
Lai Châu,LCH,Prov,Lai Châu,"9,069","288,000","370,502","460,196"
Lâm Đồng,LDO,Prov,Đà Lạt,"9,783","998,027","1,187,574","1,296,906"
Lạng Sơn,LSO,Prov,Lạng Sơn,"8,310","703,824","732,515","781,655"
Lào Cai,LCA,Prov,Lào Cai,"6,364","511,000","614,595","730,420"
Long An,LAN,Prov,Tân An,"4,495","1,305,687","1,436,066","1,688,547"
Nam Định,NDI,Prov,Nam Định,"1,668","1,890,240","1,828,111","1,780,393"
Nghệ An,NAN,Prov,Vinh,"16,482","2,858,748","2,912,041","3,327,791"
Ninh Bình,NBI,Prov,Ninh Bình,"1,387","884,155","898,999","982,487"
Ninh Thuận,NTH,Prov,Phan Rang - Tháp Chàm,"3,355","504,997","564,993","590,467"
Phú Thọ,PTH,Prov,Việt Trì,"3,535","1,261,559","1,316,389","1,463,726"
Phú Yên,PYE,Prov,Tuy Hòa,"5,023","787,282","862,231","872,964"
Quảng Bình,QBI,Prov,Đồng Hới,"8,000","794,880","844,893","895,430"
Quảng Nam,QNA,Prov,Tam Kỳ,"10,575","1,373,687","1,422,319","1,495,812"
Quảng Ngãi,QNG,Prov,Quảng Ngãi,"5,152","1,190,144","1,216,773","1,231,697"
Quảng Ninh,QNI,Prov,Hạ Long,"6,178","1,004,839","1,144,988","1,320,324"
Quảng Trị,QTR,Prov,Đông Hà,"4,622","572,921","598,324","632,375"
Sóc Trăng,STR,Prov,Sóc Trăng,"3,312","1,172,404","1,292,853","1,199,653"
Sơn La,SLA,Prov,Sơn La,"14,124","882,077","1,076,055","1,248,415"
Tây Ninh,TNI,Prov,Tây Ninh,"4,041","967,097","1,066,513","1,169,165"
Thái Bình,TBI,Prov,Thái Bình,"1,586","1,786,382","1,781,842","1,860,447"
Thái Nguyên,TNG,Prov,Thái Nguyên,"3,527","1,045,906","1,123,116","1,286,751"
Thanh Hóa,THO,Prov,Thanh Hóa,"11,115","3,467,307","3,400,595","3,640,128"
Thành Phố Hồ Chí Minh [Ho Chi Minh City],HCM,Mun,Thành Phố Hồ Chí Minh,"2,061","5,034,058","7,162,864","8,993,082"
Thừa Thiên - Huế,TTH,Prov,Huế,"4,902","1,044,875","1,087,420","1,128,620"
Tiền Giang,TGI,Prov,Mỹ Tho,"2,511","1,604,165","1,672,271","1,764,185"
Trà Vinh,TVI,Prov,Trà Vinh,"2,358","966,949","1,003,012","1,009,168"
Tuyên Quang,TQU,Prov,Tuyên Quang,"5,868","676,174","724,821","784,811"
Vĩnh Long,VLO,Prov,Vĩnh Long,"1,526","1,010,521","1,024,707","1,022,791"
Vĩnh Phúc,VPH,Prov,Vĩnh Yên,"1,235","1,092,040","999,786","1,151,154"
Yên Bái,YBA,Prov,Yên Bái,"6,888","679,068","740,397","821,030"
